citystate,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Anchorage-Alaska,423.5,437,423.6,425.1,434.8,489.1,454.6,437.8,449.8,421.3,398,426.6,467.9
Bethel-Alaska,303.8,690.8,551.9,474.8,322.5,429.1,489,302.9,440.4,525.1,496,466.1,416.2
Cordova-Alaska,169.2,176,179.8,231.1,199.2,195.4,112.5,172.9,224.7,59.7,184.1,132.3,150.2
Craig-Alaska,375.3,354,244.7,523.1,345.3,355.5,776.5,393.7,318.9,244.6,249.3,179.8,523.6
Fairbanks-Alaska,485.2,473,527.9,490.2,555.5,548,487.6,394.5,427.4,441.8,325.9,367.4,370.1
Haines-Alaska,316.4,261.5,181.6,156.2,138.1,135.7,331.9,142,194.4,96.5,224.2,76.7,165.6
Kenai-Alaska,414.8,401.9,491.4,390.1,292.6,265.4,322.1,341.2,289.5,298,227.3,291,331.4
Ketchikan-Alaska,647.5,629.4,457.3,514.1,562.8,468.3,402,442.3,431.4,370.1,342.7,299.4,238.4
Kodiak-Alaska,334.7,220.3,266.3,285.1,299.7,230.8,306,330.2,287.5,481.8,523.7,658.2,480.3
North-Pole-Alaska,347,437.8,400.8,383.3,391.6,404.2,453.3,447.3,368.5,351.2,292.4,246.9,376.1
Petersburg-Alaska,342.4,322.7,133.5,183.4,285,189.4,188.7,451.6,375.3,207.6,274.6,247.4,180.9
Seward-Alaska,481.5,453.2,392,226.8,299.3,254.8,249.3,174.4,182.7,149.1,159.4,131.9,226.1
Skagway-Alaska,71.6,246.1,139.2,234.8,110.8,88,96.7,479.8,143.8,165.1,141.4,112.7,99
Soldotna-Alaska,514.2,559.8,453,303.9,490.6,398.6,315.7,280.4,332,285.7,259.3,222.8,270.1
Unalaska-Alaska,332.2,156.9,87.9,207.4,151.9,165.3,237.8,172,175.6,233.6,188.1,205,188.7
Wrangell-Alaska,334.7,231.6,509.5,412.1,345.2,334,185.7,300.1,166.4,94,92.9,103.7,100.6
Abbeville-Alabama,205.8,303.9,255.8,240.9,425.2,253.8,254.3,281.6,182.5,330.6,248.2,313.6,317.6
Anniston-Alabama,1155.4,1174.2,1130.9,1055.7,1065.8,1218.6,1175.9,1148.1,1082.9,932.9,969.7,1004.3,950.5
Ashford-Alabama,102.4,120.3,94.5,102.4,162.3,107.3,115.4,120.9,173.6,301.2,292.3,189.9,133.9
Auburn-Alabama,321.2,352.6,318.4,325.7,307.2,284.6,338.3,360.4,322.1,175.7,270.2,239.2,210.2
Blountsville-Alabama,117.9,31.5,148,137.4,78.9,209.8,199.8,243.4,191.6,272.2,425.7,441.3,403.6
Butler-Alabama,124.8,104.1,107,129.3,82.6,31.3,70.3,61.9,241.9,361,182.7,313.4,195.2
Clanton-Alabama,273.1,262.3,271.1,267.3,286.2,338.2,380.9,419.6,428,392.8,477.8,431.1,450.4
Collinsville-Alabama,282,232.1,270.7,272.8,265.8,271.1,130.3,144.1,158.8,264.6,344.2,225.7,281
